"Name","Runtime","win_rate","agent_wins","pete_wins","max_depth","moves_weight","alignment_weight","trap_weight"
"warm-sweep-33","42","0.89","89","11","4","8.421549958784455","17.78101334207957","22.396698450502804"
"young-sweep-19","69","0.89","89","11","5","7.885375037063625","15.71363591821706","29.74533135637512"
"lilac-sweep-55","32","0.89","89","11","3","13.274513159168452","10.904254387193422","28.894425887601344"
"chocolate-sweep-26","30","0.89","89","11","3","10.077602566362629","15.941511468108606","21.467995282728"
"stoic-sweep-72","32","0.89","89","11","3","13.65529214658972","18.94236072042515","11.307522935527352"
"zesty-sweep-47","32","0.89","89","11","3","5.687956320755994","8.995268857857068","10.759820739352984"
"jolly-sweep-94","70","0.89","89","11","5","12.72354467364822","18.190533129347585","19.99358873979033"
"solar-sweep-42","30","0.89","89","11","3","13.640339642639695","18.399966312903196","11.413271512429322"
"divine-sweep-28","35","0.89","89","11","2","10.989530721290182","15.290134178470606","18.9323625012337"
"noble-sweep-29","27","0.89","89","11","2","8.300630135366434","16.81365210013582","10.28616017949594"
"revived-sweep-78","40","0.89","89","11","4","12.548483778027611","15.306462733172111","27.71392277476859"
"sunny-sweep-58","30","0.88","88","12","2","6.92143521024307","8.31674624816149","16.27915184878909"
"silvery-sweep-115","30","0.88","88","12","3","5.499881871000963","12.639567899805442","18.65887698999543"
"resilient-sweep-108","80","0.88","88","12","5","11.544069792408807","12.299900696669534","24.288774504629593"
"fiery-sweep-30","78","0.88","88","12","5","10.289425179852444","15.18696429836768","27.242459521002548"
"easy-sweep-96","44","0.88","88","12","4","13.083618740328497","17.778320532083207","19.634009698128533"
"amber-sweep-43","72","0.88","88","12","5","14.77972371449103","11.40525473445132","11.27497053714511"
"smooth-sweep-50","69","0.88","88","12","5","12.074958452944273","15.651135529142609","29.88093614475666"
"true-sweep-90","66","0.88","88","12","5","11.405411746741384","7.861290196395555","15.964763195914756"
"stoic-sweep-57","73","0.87","87","13","5","6.684846508848029","18.129366714967837","16.994356537457346"
"rose-sweep-41","31","0.87","87","13","2","5.4310010765092045","17.101661955970613","17.52472310466323"
"floral-sweep-40","47","0.87","87","13","4","10.48211815159485","18.71126734049056","25.851392361110463"
"rare-sweep-38","75","0.87","87","13","5","9.793872895670484","6.7334882871606005","28.043422252251464"
"confused-sweep-27","31","0.87","87","13","3","12.717720024157806","19.89528404228527","24.58990608254132"
"rosy-sweep-112","50","0.87","87","13","4","13.379266722851662","19.079262354112945","12.8309511119535"
"desert-sweep-9","66","0.87","87","13","5","11.262894586076111","9.874484211753996","20.555598897337006"
"hopeful-sweep-44","35","0.86","86","14","3","13.729457170507116","13.85423871287825","19.339981693620775"
"fresh-sweep-67","44","0.86","86","14","4","12.400787156532171","17.430786364036244","28.556885584814975"
"devout-sweep-103","81","0.86","86","14","5","12.344730334116388","6.162190220278825","11.034837781446283"
"smooth-sweep-109","31","0.86","86","14","3","5.390905366620633","13.072514507169824","29.16651906753472"
"cool-sweep-74","30","0.86","86","14","3","5.632038256650751","6.445482482204185","24.105299006071235"
"dark-sweep-88","36","0.85","85","15","3","11.301229285926976","8.032517377245899","16.638782730252586"
"jumping-sweep-64","70","0.85","85","15","5","13.387287287483444","17.37596674624811","29.428972445215734"
"twilight-sweep-35","41","0.84","84","16","4","14.780583183343056","15.10877060983295","24.534135961821903"
"rich-sweep-82","28","0.84","84","16","2","10.017924300958809","15.608849264940224","13.122945053137228"
"fragrant-sweep-14","33","0.84","84","16","3","10.92911558380263","7.753879001926771","25.631363269632683"
"glad-sweep-89","46","0.83","83","17","4","13.91982825511226","12.066250852751685","24.401844582324784"
"cerulean-sweep-69","44","0.82","82","18","4","14.355020992727782","6.001239522351817","11.782789606458127"
"serene-sweep-85","45","0.81","81","19","4","14.651790673911048","12.557323609440132","16.864394342116952"
"sunny-sweep-100","29","0.8","80","20","2","11.347558393685947","9.20646914753494","21.35080208429128"
"northern-sweep-31","40","0.77","77","23","4","14.40708732876027","6.150219411952946","28.029605577391216"
"generous-sweep-106","37","0.77","77","23","4","14.442121301524809","18.788499875395065","12.298379282787804"
"exalted-sweep-39","20","0.76","76","24","2","13.122624705960153","14.306933829709578","28.427181096008887"
"dauntless-sweep-45","38","0.75","75","25","4","14.956795983234771","8.636855036866129","25.42481247996054"
"bright-sweep-77","20","0.7","70","30","2","13.176644219673662","15.426692499522076","20.12296380927272"
"mild-sweep-36","25","0.64","64","36","2","13.321416062825696","5.712271449586014","24.637745354328946"
"rose-sweep-18","18","0.58","58","42","2","14.427603668801952","14.75555912102156","11.82273351243128"
"rare-sweep-93","16","0.52","52","48","2","14.609380751967947","19.968817321395427","21.74043815212633"
