"Name","State","Runtime","Sweep","action_bins","alpha","epsilon","gamma","x_bins","vel_bins","test_value","train_value"
"jumping-sweep-17","finished","43","ls3l5ov5","88","0.650304767087538","0.5899651569530269","0.860138832293867","39","39","-109.6","-143.696"
"olive-sweep-79","finished","48","ls3l5ov5","27","0.9523754487284708","0.9497092753985072","0.8824797516200669","75","23","-118.56","-138.316"
"eternal-sweep-14","finished","54","ls3l5ov5","78","0.8924673292976824","0.7540300651777041","0.7557844539595038","15","24","-118.64","-112.232"
"true-sweep-43","finished","55","ls3l5ov5","12","0.9197370419844346","0.7590409577609059","0.9817983998030648","59","67","-122.66","-122.626"
"ethereal-sweep-84","finished","45","ls3l5ov5","58","0.5885381492934844","0.5108591388288535","0.9006305299202677","10","16","-128.12","-78.846"
"deft-sweep-7","finished","46","ls3l5ov5","46","0.5607376956352087","0.9646015401450132","0.8803163358530377","38","53","-147.02","-124.652"
"devout-sweep-70","finished","52","ls3l5ov5","26","0.8906913054486858","0.7007234271957639","0.9633439687433498","29","16","-156.28","-67.186"
"true-sweep-2","finished","51","ls3l5ov5","62","0.9447232731590908","0.9224952143566004","0.671879916322786","53","56","-178.58","-164.726"
"earnest-sweep-4","finished","48","ls3l5ov5","81","0.8029847318975794","0.6173859199103363","0.7448532383573909","27","88","-179.88","-177.168"
"super-sweep-52","finished","45","ls3l5ov5","100","0.6325740246029422","0.7968950016100728","0.9643527586644868","73","18","-262.4","-148.104"
"still-sweep-37","finished","58","ls3l5ov5","69","0.9672951602849986","0.5590723752103166","0.8858499087900695","91","13","-269.1","-246.132"
"mild-sweep-44","finished","32","ls3l5ov5","21","0.9506795661250932","0.5566594422932498","0.6928797161331078","47","44","-292.9","-73.83"
"dauntless-sweep-63","finished","50","ls3l5ov5","21","0.8203106113574646","0.9792445681154964","0.9670507451672026","25","68","-422.1","-84.484"
"frosty-sweep-39","finished","50","ls3l5ov5","12","0.6797382652526989","0.6612455963814884","0.5997889314878148","74","10","-581.34","-161.43"
"balmy-sweep-3","finished","52","ls3l5ov5","89","0.9285957504527922","0.6663392756315976","0.6858642429599289","19","99","-711.42","-223.872"
"deft-sweep-36","finished","63","ls3l5ov5","82","0.5285347179171523","0.5235235094400962","0.7988838702981802","61","92","-727.42","-410.994"
"youthful-sweep-58","finished","57","ls3l5ov5","19","0.9896684655485536","0.913556108241374","0.9598648823651958","10","38","-737.68","-169.87"
"warm-sweep-99","finished","55","ls3l5ov5","16","0.9767333058932808","0.5030149412820951","0.5253538211260352","47","11","-928.62","-810.674"
