"Name","Runtime","alpha","action_bins","gamma","vel_bins","x_bins","test_value","train_value","epsilon"
"hearty-sweep-23","118","0.5937287479133835","28","0.5827513080972713","100","33","-399.82","-127.478","0.3397527678027926"
"swept-sweep-18","91","0.5723230194948227","22","0.6396136609340646","68","52","-405.76","-106.038","0.5071602036459191"
"vivid-sweep-86","93","0.9825415017630192","20","0.5899748629769371","28","63","-409.58","-36.486","0.6774516465999201"
"volcanic-sweep-82","89","0.8613974900050991","21","0.5816944563015665","59","96","-412.82","-114.586","0.46576350625506147"
"fanciful-sweep-26","100","0.5881497762170911","26","0.5889151057060643","31","91","-425.74","-104.592","0.18328111768916433"
"likely-sweep-19","106","0.6083347024618085","23","0.6064627397722409","83","58","-426.56","-154.626","0.1809000351556879"
"cerulean-sweep-100","87","0.9391278410882882","20","0.6857836259018524","52","43","-429.2","-46.098","0.7298175211054873"
"daily-sweep-92","161","0.7634333675318397","25","0.5357577403095728","17","89","-433.94","-67.57","0.8480159836629113"
"proud-sweep-22","84","0.6311057784377424","20","0.5643982562927861","70","47","-439.66","-58.904","0.3592769536526085"
"eager-sweep-47","94","0.6832794683025527","20","0.5167066835592592","24","46","-447.66","-34.57","0.6342427076882168"
"copper-sweep-12","104","0.5261746430196825","24","0.6419766304095196","68","58","-448.32","-140.686","0.3329342368146485"
"ethereal-sweep-62","72","0.9258417936615582","20","0.632810747915294","61","82","-451.64","-69.118","0.11297848282236904"
"comic-sweep-31","70","0.6649190286285679","20","0.6760263612747804","37","78","-455.8","-13.07","0.20095303356718805"
"vibrant-sweep-25","141","0.5918377481749295","35","0.7357464553027332","95","47","-466.24","-162.636","0.1593211333550226"
"amber-sweep-60","111","0.9851003805757106","37","0.6678420162110537","61","61","-466.66","-105.322","0.22461603679445497"
"polar-sweep-38","103","0.588824345615824","23","0.6553740256668237","97","51","-468.3","-167.12","0.25573620100167116"
"legendary-sweep-32","94","0.6039094778943412","38","0.8198283745265165","31","54","-469.44","-20.324","0.17521841708966948"
"whole-sweep-15","121","0.5774058161654966","23","0.5002294881235695","99","56","-469.96","-211.006","0.21936485519420929"
"rural-sweep-44","101","0.66068116369139","27","0.5215023042439473","41","66","-472.1","-83.992","0.19798177928561497"
"firm-sweep-36","100","0.522423362854791","27","0.8031733933354167","43","76","-474.86","-90.032","0.10251079091019336"
"hardy-sweep-8","114","0.6561640607866815","28","0.6332457200635534","72","53","-486.3","-128.638","0.48476116989667695"
"lively-sweep-33","71","0.5333071503310332","20","0.7427979600215429","24","65","-491.22","-32.346","0.12257225784686848"
"distinctive-sweep-27","77","0.508280561415642","20","0.5734817966344122","21","84","-493.36","-36.806","0.3864324859636561"
"colorful-sweep-94","70","0.8881985081387486","23","0.6721120678086179","70","17","-497.12","-32.298","0.11995497092640547"
